日期,隊伍,兩分命中率,三分命中率,罰球命中率,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負,二分出手,二分命中,三分出手,三分命中,罰球出手,罰球命中
2018-12-01-13-1,文化大學,52,26.1,44.4,16,26,42,14,8,3,18,18,74,1,26,50,6,23,4,9
2018-12-01-14-0,臺灣師大,50.9,63.6,71.4,11,28,39,22,12,8,23,13,82,1,28,55,7,11,5,7
2018-12-01-14-1,健行科大,39.6,32.1,71.4,14,17,31,10,13,2,12,7,70,0,19,48,9,28,5,7
2018-12-01-16-0,臺灣科大,47.1,20,57.9,16,27,43,12,6,6,12,17,80,1,24,51,7,35,11,19
2018-12-01-16-1,醒吾科大,40.8,32.1,92.3,14,34,48,11,5,2,17,19,79,0,20,49,9,28,12,13
2018-12-01-18-0,國立體大,39,39.1,50,12,28,40,14,10,7,15,20,67,1,16,41,9,23,8,16
2018-12-01-18-1,輔仁大學,38.2,26.1,65,10,22,32,11,9,4,19,19,57,0,13,34,6,23,13,20
2018-12-02-13-0,健行科大,37,51.9,76.5,20,32,52,20,9,2,17,22,95,1,20,54,14,27,13,17
2018-12-02-13-1,臺灣科大,35.3,34.8,64.3,13,18,31,11,12,3,17,21,69,0,18,51,8,23,9,14
2018-12-02-14-0,醒吾科大,48,25,62.5,11,25,36,13,11,0,14,16,74,0,24,50,7,28,5,8
2018-12-02-14-1,萬能科大,32.4,47.1,70.6,11,32,43,20,5,4,20,12,84,1,12,37,16,34,12,17
2018-12-02-16-0,臺灣師大,41.3,22.2,66.7,12,27,39,15,14,6,13,17,70,1,26,63,2,9,12,18
2018-12-02-16-1,國立體大,43.2,36.4,50,9,27,36,15,9,4,21,18,66,0,16,37,8,22,10,20
2018-12-02-18-0,文化大學,40.4,50,55.6,13,29,42,13,8,1,18,17,72,1,23,57,7,14,5,9
2018-12-02-18-1,輔仁大學,35.3,34.8,71.4,18,18,36,12,8,5,13,13,70,0,18,51,8,23,10,14
2018-12-03-13-0,高雄師大,38.1,26.1,66.7,7,25,32,8,14,1,21,16,68,0,16,42,6,23,18,27
2018-12-03-13-1,政治大學,46.3,26.7,61.1,13,35,48,14,12,6,26,22,73,1,19,41,8,30,11,18
2018-12-03-14-0,中州科大,50,17.9,66.7,14,24,38,11,6,2,21,17,65,0,20,40,5,28,10,15
2018-12-03-14-1,臺灣藝大,53.1,20,46.7,7,21,28,13,11,3,12,18,68,1,26,49,3,15,7,15
2018-12-03-16-0,北市大學,43.4,11.1,47.6,17,32,49,12,15,1,9,20,65,1,23,53,3,27,10,21
2018-12-03-16-1,屏東大學,37.8,23.5,69.2,10,33,43,7,3,6,22,17,58,0,14,37,4,17,18,26
2018-12-03-18-0,義守大學,43.8,33.3,57.1,25,44,69,13,5,5,13,13,82,1,21,48,12,36,4,7
2018-12-03-18-1,臺北商大,32.7,19,57.1,11,26,37,8,8,4,7,12,56,0,18,55,4,21,8,14
2018-12-04-13-0,中州科大,45.2,18.2,71.4,18,23,41,13,11,0,18,21,66,0,19,42,6,33,10,14
2018-12-04-13-1,高雄師大,52.8,31.6,62.5,7,23,30,6,13,4,19,19,71,1,19,36,6,19,15,24
2018-12-04-14-0,臺灣藝大,47.3,30,77.8,17,30,47,11,8,5,11,15,77,1,26,55,6,20,7,9
2018-12-04-14-1,北市大學,36.4,33.3,61.5,8,22,30,15,9,1,12,10,64,0,16,44,8,24,8,13
2018-12-04-16-0,臺北商大,53.8,26.9,42.1,10,21,31,9,6,4,14,21,71,0,21,39,7,26,8,19
2018-12-04-16-1,政治大學,41.9,33.3,70,15,25,40,14,10,4,12,17,87,1,18,43,10,30,21,30
2018-12-04-18-0,屏東大學,41.3,26.9,61.1,15,22,37,10,9,2,15,16,70,0,19,46,7,26,11,18
2018-12-04-18-1,義守大學,72.7,14.8,95.2,12,20,32,12,12,3,14,13,80,1,24,33,4,27,20,21
2018-12-05-13-0,政治大學,55.3,8.3,36.8,17,27,44,10,13,2,18,12,65,0,26,47,2,24,7,19
2018-12-05-13-1,中州科大,45.5,20.8,50,18,28,46,14,8,1,16,19,70,1,25,55,5,24,5,10
2018-12-05-14-0,臺北商大,39.2,26.1,54.8,12,20,32,13,8,3,12,16,75,0,20,51,6,23,17,31
2018-12-05-14-1,臺灣藝大,56.4,42.9,52.6,11,39,50,13,10,2,15,22,90,1,31,55,6,14,10,19
2018-12-05-16-0,屏東大學,38.2,12,59.1,10,19,29,7,6,0,16,14,48,0,13,34,3,25,13,22
2018-12-05-16-1,高雄師大,51.1,35.5,84.6,16,31,47,22,15,4,15,19,90,1,23,45,11,31,11,13
2018-12-05-18-0,義守大學,52.8,33.3,45.5,19,39,58,20,11,3,11,16,94,1,28,53,11,33,5,11
2018-12-05-18-1,北市大學,34,16.7,66.7,13,24,37,11,8,2,13,13,55,0,16,47,5,30,8,12
2018-12-07-13-0,臺灣藝大,43.8,20,55.6,17,30,47,13,14,5,11,12,70,1,28,64,3,15,5,9
2018-12-07-13-1,屏東大學,31.8,15.4,66.7,14,27,41,11,8,2,24,10,52,0,14,44,4,26,12,18
2018-12-07-14-0,中州科大,41.5,23.3,52.4,10,35,45,11,10,3,19,16,66,1,17,41,7,30,11,21
2018-12-07-14-1,臺北商大,37.5,31.2,50,6,30,36,10,13,6,14,20,61,0,21,56,5,16,4,8
2018-12-07-16-0,北市大學,51,27.6,54.5,9,20,29,15,17,1,17,19,80,0,25,49,8,29,6,11
